id,content,score
b31c882e-586c-4236-b463-0ce05d59c1e2,taking away features is absolutely ridiculous. this app needs to bring back 10 minute videos and comments on posts. there's not a single person happy with the decision to remove these features.,1
8c05c52d-3d67-4b5a-aadc-7659df9a4c66,this tiktok app is fine but it just banned me for no reason I neverd do tiktoks in it was almost my dad birthday I made just one tiktoks not my fave I just post hey guys pls do a favor for me cuz it almost my Dad birthday so can u guys put happy birthday in the comments for my dad in suddenly this happen band forever like my worst day ever that my dad had have but I gave u a 1 tiktok,1
ac46bd9a-ec2d-4230-9e28-80b35806d032,I love it so much and I am on it 24/7 and it shows me cool things I can do when I am bored,5
ee3e34d4-4370-4c07-9d0f-a0f80c3b7044,don't take reports for bullying seriously and instead take action against the victims truly backwards since they were sold went way down hill and the AI integrations are super annoying and it keeps opening on its own when I try to look at the comments section.,1
739c90d3-214a-48a5-b4d8-1014fdee839d,"good for live football, for is the best entertainment app",5
15ada10b-36f6-4670-87e0-7f80af28fb23,"I like watching tiktoks and everything although it likes to bug and not work sometimes, tiktok needs to fix so many problems with it, hope you also like tiktok.",3
036b96f1-f235-4bf3-b4ec-dfa5040e63ac,can't do the swipe trend,1
6d27d58f-2963-47df-977a-09a5e99f72fe,why can I no longer have tick t??,4
f5cafeb6-1eca-431c-9054-8abd677e6cd0,infected my mobile cell phone with a Virus,1
71c3b804-c958-4fd9-8e89-1bb76dc28bb0,TikTok is the best app but it need more time to download.Tiktok has many feature than TikTok lite.,5
ad9a1c04-6f21-4c6b-89c8-3bd9807ca9e3,iam looking for a white tran til.tok,5
95005290-8893-4ede-b213-3ba6b313cc7e,doesn't anything on your damn app work I want I want my money back from tick tock shop who am I supposed to talk to,1
cc386747-cdbb-407d-ae49-526735e8c250,you always get banned or suspended for no reason it socks,1
67b244ae-a93e-40e8-a173-867f4fb6d95a,"Work with Artists isn't working on my TikTok Studio, can you fix it? I'm not earning any money from the videos I put in so much effort into.",1
5b2d5982-b9b0-4eb5-9d35-780917235d23,it says too many attempts when i try to login... whatever that means i only tried once initially,1
bcc8a4c4-0632-4db2-ab0b-f3d6ae1dfd30,ever since the update its been lagging so bad cant even watch a video without it glitching,1
0714ff4c-e09d-4dd5-9c47-0572649fac9d,I'm sure it was the best thing that happened in worcester massachusetts life.,5
e0c89c50-b6d4-4171-9477-cd1958485d56,best great Tek tok interment is best,5
3fb60c76-d8af-49cf-b52b-f12b2d47c719,I can't follow any account not like following top frequent issues I can't follow any account at all and this is an account I created just today and it doesn't let me follow anyone,1
30680f4f-ae0f-4290-af18-04186ee68ad9,Thank for time for tiktok,5
853fc120-dc9a-4768-98f3-09feead1a129,TikTok is very hurt broken app in the world from me 0 star I give that app,1
dcfa9f00-c3bf-4e21-bc18-7cec9a4985a2,please unfreeze my account,1
32031099-6174-456e-ae94-8e014cfc6384,got a strike for the most ridiculous comment I made. it doesn't make sense why I'm on my second strike. and the comments are not even offensive. yous allow waaaay more worse comments than the ones I make.,1
c47478aa-5f38-4ddd-80f6-9edeb91e525a,app started very slow please solve this problem,5
96c6bedb-152a-49b3-9f5b-59510bcb0520,Thanks for making tiktok,5
39a21d5b-80cb-4de2-ad52-2d126b991f7a,terrible please remove the,1
3260c7f9-464d-40e9-a186-0d10ea8115c8,"due to my sim got locked by the carrier so now I can't receive otp and am not able to login my TikTok account ,other platforms offer Whatsapp otp verification but TikTok doesn't and that's why I hate using TikTok because if I can't use my real account so TikTok team please kindly allow TikTok to verify otp using Whatsapp so that it will be easy recovering our accounts ,I hope TikTok will see my comment and will fix this in next update. Regards Bilal",2
ba46bde2-11b1-4c19-87c0-5fd538539195,a scorge of the earth,1
daf9e289-e33d-4ae2-b680-06b70438fce2,how can I open my live streaming?,5
